PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/10/2020,1:08:29 PM,1,1,"Valdez, Framber",664285,Left,HOU,"Nimmo, Brandon",607043,Left,NYM,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,93.1358828011685,-2.04668487318942,1.97768162536653,2164.45095284692,101.009509781978,9:15,5.95008728652121,-1.07381019432543,6.40497262370118,-28.8992354711945,2.75880542820286,-14.3332528357928,1.65818563740369,-0.449257369802363,85.0985796006134,-7.51249450758909,-0.75317223181619,0.404961313321739,,,,,,,,,,,,8.47346540436488,2.12531570950757,0.939043905273274,50,5.7903768805159,-4.2398040036665,-135.486361215526,-5.72911769691783,15.6499340836629,31.3649982769406,-28.248730026938,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,c17bcdfe-62f1-11ea-bc5a-d43b046e0121,
2,3/10/2020,1:08:54 PM,1,2,"Valdez, Framber",664285,Left,HOU,"Nimmo, Brandon",607043,Left,NYM,Undefined,1,Top,0,0,1,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,93.7448764586319,-1.95112431129133,1.29865091879152,2283.86885892808,115.404591531437,9:45,6.02568213630495,-0.979807127208712,6.12967065905355,-25.4730469466361,5.68875894256336,-12.0397120556176,2.09854091375634,-0.782699446704015,86.6637625861526,-6.71729696744291,-0.968231381615593,0.401774923744265,,,,,,,,,,,,6.86807061383038,3.58647066501005,0.887083821488197,50,5.86340566547789,-2.69755357680422,-136.491071749962,-5.4902028623393,13.0605584010348,27.7796968283421,-25.3538930560434,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,d25628a1-62f1-11ea-bc5a-d43b046e0121,
3,3/10/2020,1:09:22 PM,1,3,"Valdez, Framber",664285,Left,HOU,"Nimmo, Brandon",607043,Left,NYM,Undefined,1,Top,0,0,2,Undefined,Other,BallCalled,Undefined,Undefined,Undefined,0,0,,89.0964005654568,0.862395977337917,0.849640944892207,1731.15245457891,54.8701761239594,7:45,5.98792757808844,-0.971624302900407,6.11776832859309,-39.8418944370875,-5.38653407656835,-7.60974527057601,3.46512194482386,-0.820298638913116,82.4310733492065,-6.60669445827103,-0.582580976916057,0.422473931840512,,,,,,,,,,,,4.34468211896224,-3.14153451899717,0.91067137998722,50,6.03282940784462,-1.68595453765324,-129.804951091449,0.702465025661355,7.47643642808886,24.9854594958277,-37.580078842379,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,e307fee6-62f1-11ea-bc5a-d43b046e0121,
4,3/10/2020,1:09:45 PM,1,4,"Valdez, Framber",664285,Left,HOU,"Nimmo, Brandon",607043,Left,NYM,Undefined,1,Top,0,1,2,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,80.0787210697312,1.9484288673184,0.409020985399685,3084.5268313401,308.114839391284,4:15,5.95345375462886,-1.05103664266058,6.21576754434989,-55.9724854209062,-13.1677022902791,16.7331384194228,3.08762664374326,0.720799993662154,74.0322114402427,-8.56191243823617,3.57097465809386,0.470888049609063,81.5104561394402,-31.1622843653239,-4.55816574444898,,,,,4.52512969197023,3.95476992954738,-15.267662253562,0.0454498291015625,-9.01622804737412,-7.71922953609444,1.01202798620011,50,6.07097026981876,-1.29279821630071,-116.583536747405,2.42577859685512,-12.4225211684215,21.6948701151115,-42.8095706186708,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,ee391c93-62f1-11ea-bc5a-d43b046e0121,
5,3/10/2020,1:10:27 PM,2,1,"Valdez, Framber",664285,Left,HOU,"Cano, Robinson",429664,Left,NYM,Undefined,1,Top,1,0,0,Undefined,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,95.0868935894583,-1.65375337483793,1.7110028676091,2337.93523898662,154.566474680478,11:15,6.08600666502878,-0.968431505221517,6.09108632985551,-19.8990104153554,10.111160954563,-4.82180279719241,2.89713813910484,0.212680959148213,88.66422587663,-5.36146802842547,0.809382587334633,0.394280915293616,102.592493496862,-9.92582465527085,-28.1808336362456,,,,,15.1961847379306,13.7270434742791,-28.6028395748927,0.102670288085938,2.98422913396741,5.83124307576051,0.839361284570871,50,5.94795058324955,-3.97456169185361,-138.545445646102,-4.67860403628187,5.91812139587163,25.0621215938979,-20.6099216539808,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,091118fb-62f2-11ea-bc5a-d43b046e0121,
6,3/10/2020,1:11:12 PM,3,1,"Valdez, Framber",664285,Left,HOU,"Davis, J.D.",605204,Right,NYM,Undefined,1,Top,2,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.12794289186,-2.15771050924797,2.01792757133293,2201.09783096997,119.635890044589,10:00,6.09733269036191,-1.11276428053099,6.16045358613869,-23.4477161490459,7.65801862252738,-13.5123187409898,2.14818244287773,-0.374137990022777,86.3473929075488,-6.56469713781067,-0.536303510252655,0.401413293353467,,,,,,,,,,,,7.91505531011694,4.76634127723259,0.966866989836406,50,5.92167579509725,-4.38297956338935,-136.921878832686,-5.92783987994799,15.0353021900042,30.0535527202585,-23.1199890917691,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,23e915a0-62f2-11ea-bc5a-d43b046e0121,
7,3/10/2020,1:11:29 PM,3,2,"Valdez, Framber",664285,Left,HOU,"Davis, J.D.",605204,Right,NYM,Undefined,1,Top,2,0,1,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,94.3800432343926,-1.58866239016175,1.69555686454424,2203.63884886758,106.060341577326,9:30,6.05269016158037,-0.887653339917652,6.21584050444391,-27.0509082950392,3.83455623679573,-13.4205985005592,2.33157938271333,-0.441098328220285,86.5262921742226,-6.68284825274596,-0.846166459164391,0.399989496557862,,,,,,,,,,,,7.80133631767619,2.53931234212532,0.767614198584589,50,5.9202403581053,-3.63152864313432,-137.356160574968,-4.68685358104833,14.8893967910813,30.7033965592282,-27.3275930904961,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,2cdbbf56-62f2-11ea-bc5a-d43b046e0121,
8,3/10/2020,1:12:00 PM,3,3,"Valdez, Framber",664285,Left,HOU,"Davis, J.D.",605204,Right,NYM,Undefined,1,Top,2,0,2,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.8746872271891,-1.47807000617661,1.07435487455288,1717.47315271676,90.4752181473074,9:00,5.92617987092235,-0.874939546543419,6.03101828736997,-34.1022292012359,0.0756329727538281,-12.9929789347472,1.71520779770331,-0.962804012950195,82.9020311086623,-7.85416320625798,-1.37408077199346,0.420769222417006,,,,,,,,,,,,7.32927281948387,0.441035675189797,0.798232767082962,50.0000000000001,5.79228246819075,-2.03728595956017,-130.832438542643,-4.46895444652708,12.7363931687585,26.9382689841155,-31.4076418611122,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,3ec1124c-62f2-11ea-bc5a-d43b046e0121,
9,3/10/2020,1:14:45 PM,1,1,"Porcello, Rick",519144,Right,NYM,"Straw, Myles",664702,Right,HOU,Undefined,1,Bottom,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.519454473899,-3.23071803889141,-2.80500272984688,2312.75290767189,235.991369130177,1:45,6.41484283934221,1.38981403634154,6.23049632425512,-21.9787014564821,12.2322469851118,18.1768330367513,1.59640320096966,0.315037289914306,82.6132493780269,-7.34606794166614,0.624036509670069,0.420972838362769,,,,,,,,,,,,-10.634458242101,7.50548132794308,-1.18981777720363,50,6.1625552279113,5.81490242552925,-130.093116662005,-8.0281500439449,-18.3475034341489,25.5718126065384,-19.224931515921,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,a12e5b28-62f2-11ea-bc5a-d43b046e0121,
10,3/10/2020,1:15:00 PM,1,2,"Porcello, Rick",519144,Right,NYM,"Straw, Myles",664702,Right,HOU,Undefined,1,Bottom,0,1,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.810069340896,-3.00075914082576,-2.98329945860917,2230.62992968307,236.832273436283,2:00,6.44540940426069,1.33851418817074,6.26393804581436,-24.0175294590498,10.5669419972074,16.2176015838899,1.67139349729564,-0.0626773468600999,82.3002417939172,-7.49229301132821,0.0712974794491671,0.423264738676619,,,,,,,,,,,,-9.58022752408862,6.5046016701812,-1.12586811887441,50,6.21115318343327,6.23524674441879,-129.109998606882,-7.50795057284991,-16.3460823267022,24.1539209751786,-21.0756947714245,HOU,NYM,PalmBeachStadium,MLB,AL,20200310-PalmBeachStadium-1,aa2104d3-62f2-11ea-bc5a-d43b046e0121,
